"Species","Density","Source"
"Sporophila luctuosa",1.33962082385983,"Santini et al. (2023, GEB)"
"Sporophila ardesiaca",1.11666063401944,"Santini et al. (2023, GEB)"
"Sporophila caerulescens",1.63875424401177,"Santini et al. (2023, GEB)"
"Sporophila albogularis",1.08045407402563,"Santini et al. (2023, GEB)"
"Sporophila leucoptera",1.16911191997749,"Santini et al. (2023, GEB)"
"Sporophila peruviana",1.79722596672987,"Santini et al. (2023, GEB)"
"Sporophila simplex",1.72231604248249,"Santini et al. (2023, GEB)"
"Sporophila nigrorufa",1.07889876929003,"Santini et al. (2023, GEB)"
"Sporophila minuta",1.29321566820972,"Santini et al. (2023, GEB)"
"Sporophila hypoxantha",1.75005035468496,"Santini et al. (2023, GEB)"
"Sporophila ruficollis",1.73762076794353,"Santini et al. (2023, GEB)"
"Sporophila palustris",1.95289040091912,"Santini et al. (2023, GEB)"
"Sporophila castaneiventris",1.58211404798255,"Santini et al. (2023, GEB)"
"Sporophila hypochroma",1.91099245456631,"Santini et al. (2023, GEB)"
"Sporophila cinnamomea",1.96830212446233,"Santini et al. (2023, GEB)"
"Sporophila melanogaster",2.1307752757083,"Santini et al. (2023, GEB)"
"Oryzoborus nuttingi",1.5874931320099,"Santini et al. (2023, GEB)"
"Oryzoborus crassirostris",1.14442876629234,"Santini et al. (2023, GEB)"
"Oryzoborus atrirostris",1.51566312329948,"Santini et al. (2023, GEB)"
"Oryzoborus maximiliani",1.24717759932712,"Santini et al. (2023, GEB)"
"Oryzoborus angolensis",1.02626951674495,"Santini et al. (2023, GEB)"
"Dolospingus fringilloides",1.13414321675526,"Santini et al. (2023, GEB)"
"Catamenia analis",1.64285096335119,"Santini et al. (2023, GEB)"
"Catamenia inornata",1.52322671627847,"Santini et al. (2023, GEB)"
"Catamenia homochroa",1.57665474801775,"Santini et al. (2023, GEB)"
"Tiaris obscurus",1.58617789339911,"Santini et al. (2023, GEB)"
"Tiaris canorus",1.39565385784439,"Santini et al. (2023, GEB)"
"Tiaris olivaceus",1.78715667968835,"Santini et al. (2023, GEB)"
"Tiaris bicolor",1.36910612559337,"Santini et al. (2023, GEB)"
"Tiaris fuliginosus",1.12300992040206,"Santini et al. (2023, GEB)"
"Loxipasser anoxanthus",1.47166346799169,"Santini et al. (2023, GEB)"
"Loxigilla portoricensis",1.199379231856,"Santini et al. (2023, GEB)"
"Loxigilla violacea",1.2497294855789,"Santini et al. (2023, GEB)"
"Diglossa baritula",1.98894922512619,"Santini et al. (2023, GEB)"
"Diglossa plumbea",2.00499169043541,"Santini et al. (2023, GEB)"
"Diglossa sittoides",1.36262884633291,"Santini et al. (2023, GEB)"
"Diglossa venezuelensis",0.775271847856785,"Santini et al. (2023, GEB)"
"Diglossa albilatera",1.72466798223543,"Santini et al. (2023, GEB)"
"Diglossa gloriosissima",1.82899586725395,"Santini et al. (2023, GEB)"
"Diglossa lafresnayii",1.53526911979348,"Santini et al. (2023, GEB)"
"Diglossa mystacalis",1.53543443793674,"Santini et al. (2023, GEB)"
"Diglossa gloriosa",1.61682503886239,"Santini et al. (2023, GEB)"
"Diglossa humeralis",1.55908542513564,"Santini et al. (2023, GEB)"
"Diglossa brunneiventris",1.88141115682402,"Santini et al. (2023, GEB)"
"Diglossa carbonaria",1.72553813088358,"Santini et al. (2023, GEB)"
"Diglossa duidae",1.12812757917899,"Santini et al. (2023, GEB)"
"Diglossa major",1.31852424624477,"Santini et al. (2023, GEB)"
"Diglossa indigotica",1.61739152230381,"Santini et al. (2023, GEB)"
"Diglossa glauca",1.67002661214821,"Santini et al. (2023, GEB)"
"Diglossa caerulescens",1.50591323056025,"Santini et al. (2023, GEB)"
"Diglossa cyanea",1.52718620477175,"Santini et al. (2023, GEB)"
"Euneornis campestris",1.68359442137365,"Santini et al. (2023, GEB)"
"Melanospiza richardsoni",1.23122317069782,"Santini et al. (2023, GEB)"
"Geospiza magnirostris",2.04968391133857,"Santini et al. (2023, GEB)"
"Geospiza fortis",2.0727919066226,"Santini et al. (2023, GEB)"
"Geospiza fuliginosa",2.14048615843919,"Santini et al. (2023, GEB)"
"Geospiza scandens",1.98975447899762,"Santini et al. (2023, GEB)"
"Platyspiza crassirostris",1.98778337518593,"Santini et al. (2023, GEB)"
"Camarhynchus psittacula",1.9216816850532,"Santini et al. (2023, GEB)"
"Camarhynchus pauper",1.99250531439209,"Santini et al. (2023, GEB)"
"Camarhynchus parvulus",2.11526543880853,"Santini et al. (2023, GEB)"
"Camarhynchus pallidus",1.88634073571935,"Santini et al. (2023, GEB)"
"Camarhynchus heliobates",2.04823903514955,"Santini et al. (2023, GEB)"
"Pinaroloxias inornata",1.68803724037717,"Santini et al. (2023, GEB)"
"Spiza americana",1.56663627507324,"Santini et al. (2023, GEB)"
"Pheucticus chrysopeplus",1.4452999435038,"Santini et al. (2023, GEB)"
"Pheucticus chrysogaster",1.24405487069572,"Santini et al. (2023, GEB)"
"Pheucticus tibialis",1.56996947254166,"Santini et al. (2023, GEB)"
"Pheucticus aureoventris",1.44096833552365,"Santini et al. (2023, GEB)"
"Pheucticus ludovicianus",1.37497327200637,"Santini et al. (2023, GEB)"
"Pheucticus melanocephalus",1.26919805152835,"Santini et al. (2023, GEB)"
"Cardinalis cardinalis",1.56817760957309,"Santini et al. (2023, GEB)"
"Cardinalis phoeniceus",1.14681801618493,"Santini et al. (2023, GEB)"
"Cardinalis sinuatus",1.29671241517771,"Santini et al. (2023, GEB)"
"Caryothraustes poliogaster",1.38535470442257,"Santini et al. (2023, GEB)"
"Caryothraustes canadensis",0.905295056071015,"Santini et al. (2023, GEB)"
"Parkerthraustes humeralis",0.976041184737614,"Santini et al. (2023, GEB)"
"Rhodothraupis celaeno",1.49166903610434,"Santini et al. (2023, GEB)"
"Periporphyrus erythromelas",0.697393347230225,"Santini et al. (2023, GEB)"
"Saltator grossus",0.917003355220607,"Santini et al. (2023, GEB)"
"Saltator fuliginosus",0.905844303338344,"Santini et al. (2023, GEB)"
"Saltator atriceps",1.29252586452074,"Santini et al. (2023, GEB)"
"Saltator maximus",0.852776370516017,"Santini et al. (2023, GEB)"
"Saltator atripennis",1.46700941967654,"Santini et al. (2023, GEB)"
"Saltator similis",0.822762617524385,"Santini et al. (2023, GEB)"
"Saltator orenocensis",1.12978871965551,"Santini et al. (2023, GEB)"
"Saltator nigriceps",1.52804241431234,"Santini et al. (2023, GEB)"
"Saltator aurantiirostris",1.48168497716584,"Santini et al. (2023, GEB)"
"Saltator maxillosus",0.912433124481554,"Santini et al. (2023, GEB)"
"Saltator cinctus",1.42039350801761,"Santini et al. (2023, GEB)"
"Saltator atricollis",0.856077240106626,"Santini et al. (2023, GEB)"
"Saltator rufiventris",1.36453133017293,"Santini et al. (2023, GEB)"
"Saltator albicollis",0.933324097075842,"Santini et al. (2023, GEB)"
"Cyanoloxia glaucocaerulea",1.74168701725179,"Santini et al. (2023, GEB)"
"Cyanocompsa parellina",1.64899563786888,"Santini et al. (2023, GEB)"
"Cyanocompsa brissonii",1.04296793862914,"Santini et al. (2023, GEB)"
"Passerina caerulea",1.34292753635496,"Santini et al. (2023, GEB)"
"Passerina amoena",1.85111671525242,"Santini et al. (2023, GEB)"
"Passerina cyanea",1.59020106064099,"Santini et al. (2023, GEB)"
"Passerina versicolor",1.40563060516515,"Santini et al. (2023, GEB)"
"Passerina ciris",1.63676422702252,"Santini et al. (2023, GEB)"
"Passerina rositae",1.54518325172892,"Santini et al. (2023, GEB)"
"Passerina leclancherii",1.8293466052449,"Santini et al. (2023, GEB)"
"Porphyrospiza caerulescens",1.08930497159059,"Santini et al. (2023, GEB)"
"Clypicterus oseryi",1.11412243926129,"Santini et al. (2023, GEB)"
"Psarocolius decumanus",0.665214587450572,"Santini et al. (2023, GEB)"
"Psarocolius viridis",0.540995128690089,"Santini et al. (2023, GEB)"
"Psarocolius atrovirens",1.2042998178428,"Santini et al. (2023, GEB)"
"Psarocolius wagleri",1.25779208877163,"Santini et al. (2023, GEB)"
"Ocyalus latirostris",1.23505684683828,"Santini et al. (2023, GEB)"
"Psarocolius montezuma",1.08909892518069,"Santini et al. (2023, GEB)"
"Psarocolius cassini",1.08013320665157,"Santini et al. (2023, GEB)"
"Psarocolius guatimozinus",0.737180365998548,"Santini et al. (2023, GEB)"
"Cacicus haemorrhous",0.781929964702373,"Santini et al. (2023, GEB)"
"Cacicus koepckeae",1.25849313880719,"Santini et al. (2023, GEB)"
"Cacicus chrysopterus",1.57150691664782,"Santini et al. (2023, GEB)"
"Cacicus sclateri",1.26685379115287,"Santini et al. (2023, GEB)"
"Cacicus solitarius",0.786017785251994,"Santini et al. (2023, GEB)"
"Cacicus melanicterus",1.27164567127291,"Santini et al. (2023, GEB)"
"Amblycercus holosericeus",1.28345525246726,"Santini et al. (2023, GEB)"
"Icterus cayanensis",0.536067967384466,"Santini et al. (2023, GEB)"
"Icterus graduacauda",1.5743482975779,"Santini et al. (2023, GEB)"
"Icterus chrysater",1.46579648627075,"Santini et al. (2023, GEB)"
"Icterus nigrogularis",1.1495633056257,"Santini et al. (2023, GEB)"
"Icterus leucopteryx",1.64777042230355,"Santini et al. (2023, GEB)"
"Icterus auratus",1.32694630760847,"Santini et al. (2023, GEB)"
"Icterus mesomelas",1.40887495236751,"Santini et al. (2023, GEB)"
"Icterus auricapillus",1.23963687400674,"Santini et al. (2023, GEB)"
"Icterus graceannae",1.71970287629343,"Santini et al. (2023, GEB)"
"Icterus pectoralis",1.45192329456204,"Santini et al. (2023, GEB)"
"Icterus gularis",1.54085446168019,"Santini et al. (2023, GEB)"
"Icterus pustulatus",1.56473239791609,"Santini et al. (2023, GEB)"
"Icterus jamacaii",0.738205232678365,"Santini et al. (2023, GEB)"
"Icterus galbula",1.18237001112275,"Santini et al. (2023, GEB)"
"Icterus cucullatus",1.47681305069876,"Santini et al. (2023, GEB)"
"Icterus wagleri",1.49720688076078,"Santini et al. (2023, GEB)"
"Icterus oberi",1.4538913705648,"Santini et al. (2023, GEB)"
"Icterus bonana",0.948083983447833,"Santini et al. (2023, GEB)"
"Icterus laudabilis",1.11113143265942,"Santini et al. (2023, GEB)"
"Icterus maculialatus",1.4965598341264,"Santini et al. (2023, GEB)"
"Icterus parisorum",0.856203106476738,"Santini et al. (2023, GEB)"
"Nesopsar nigerrimus",1.3084643291031,"Santini et al. (2023, GEB)"
"Gymnomystax mexicanus",0.967581128512284,"Santini et al. (2023, GEB)"
"Xanthocephalus xanthocephalus",1.69996223739497,"Santini et al. (2023, GEB)"
"Agelasticus xanthophthalmus",1.3597244117016,"Santini et al. (2023, GEB)"
"Agelasticus thilius",1.63525039971105,"Santini et al. (2023, GEB)"
"Agelasticus cyanopus",1.64679500294398,"Santini et al. (2023, GEB)"
"Agelaius phoeniceus",1.78864210914404,"Santini et al. (2023, GEB)"
"Agelaius tricolor",1.51165138248127,"Santini et al. (2023, GEB)"
"Chrysomus icterocephalus",1.38815416192326,"Santini et al. (2023, GEB)"
"Agelaius humeralis",1.25483898190197,"Santini et al. (2023, GEB)"
"Agelaius xanthomus",1.33379122105747,"Santini et al. (2023, GEB)"
"Chrysomus ruficapillus",1.55818313586223,"Santini et al. (2023, GEB)"
"Sturnella superciliaris",1.29864524313974,"Santini et al. (2023, GEB)"
"Sturnella bellicosa",1.62602948164104,"Santini et al. (2023, GEB)"
"Sturnella defilippii",1.73086127862506,"Santini et al. (2023, GEB)"
"Sturnella loyca",1.48210111495802,"Santini et al. (2023, GEB)"
"Sturnella neglecta",1.05567037157829,"Santini et al. (2023, GEB)"
"Pseudoleistes guirahuro",1.17536736014917,"Santini et al. (2023, GEB)"
"Pseudoleistes virescens",1.88777754171847,"Santini et al. (2023, GEB)"
"Amblyramphus holosericeus",1.74256138843042,"Santini et al. (2023, GEB)"
"Hypopyrrhus pyrohypogaster",1.09436051759052,"Santini et al. (2023, GEB)"
"Curaeus curaeus",1.48814880271382,"Santini et al. (2023, GEB)"
"Curaeus forbesi",0.848235445519991,"Santini et al. (2023, GEB)"
"Gnorimopsar chopi",1.00635382167276,"Santini et al. (2023, GEB)"
"Oreopsar bolivianus",1.21420411636683,"Santini et al. (2023, GEB)"
"Lampropsar tanagrinus",0.92737541775844,"Santini et al. (2023, GEB)"
"Macroagelaius imthurni",0.899402479828848,"Santini et al. (2023, GEB)"
"Macroagelaius subalaris",1.17006493181466,"Santini et al. (2023, GEB)"
"Dives atroviolaceus",1.15081975675985,"Santini et al. (2023, GEB)"
"Dives dives",1.34879509817001,"Santini et al. (2023, GEB)"
"Dives warszewiczi",1.46991096566684,"Santini et al. (2023, GEB)"
"Quiscalus mexicanus",1.62686072140466,"Santini et al. (2023, GEB)"
"Quiscalus major",1.47175218365716,"Santini et al. (2023, GEB)"
"Quiscalus nicaraguensis",1.83220085359058,"Santini et al. (2023, GEB)"
"Quiscalus quiscula",1.68475857634278,"Santini et al. (2023, GEB)"
"Quiscalus niger",1.41403734736445,"Santini et al. (2023, GEB)"
"Quiscalus lugubris",1.37382784351054,"Santini et al. (2023, GEB)"
"Euphagus carolinus",1.19293512939197,"Santini et al. (2023, GEB)"
"Euphagus cyanocephalus",1.67204047602802,"Santini et al. (2023, GEB)"
"Molothrus rufoaxillaris",0.891963969281894,"Santini et al. (2023, GEB)"
"Molothrus bonariensis",0.981491386788179,"Santini et al. (2023, GEB)"
"Molothrus ater",1.5564377073109,"Santini et al. (2023, GEB)"
"Molothrus oryzivorus",0.377891099447021,"Santini et al. (2023, GEB)"
"Dolichonyx oryzivorus",1.57464349737928,"Santini et al. (2023, GEB)"
"Pogoniulus makawai",1.065039536056,"Santini et al. (2023, GEB)"
"Bradypterus bangwaensis",1.22004730380527,"Santini et al. (2023, GEB)"
"Troglodytes cobbi",1.8185359689791,"Santini et al. (2023, GEB)"
"Otus enganensis",1.28290723040029,"Santini et al. (2023, GEB)"
"Otus alfredi",1.13090621236027,"Santini et al. (2023, GEB)"
"Cinclodes aricomae",1.23238526555872,"Santini et al. (2023, GEB)"
"Myrmotherula snowi",0.888089954168336,"Santini et al. (2023, GEB)"
"Contopus pallidus",1.29538799771391,"Santini et al. (2023, GEB)"
"Contopus hispaniolensis",0.981658591972234,"Santini et al. (2023, GEB)"
"Phylloscartes kronei",1.28398850587753,"Santini et al. (2023, GEB)"
"Phylloscopus emeiensis",0.97555859180738,"Santini et al. (2023, GEB)"
"Cryptosylvicola randrianasoloi",1.80443751513895,"Santini et al. (2023, GEB)"
"Chlorostilbon forficatus",1.70709277017081,"Santini et al. (2023, GEB)"
"Carpococcyx viridis",0.975655150673706,"Santini et al. (2023, GEB)"
"Glaucidium sanchezi",1.17614379604244,"Santini et al. (2023, GEB)"
"Scytalopus schulenbergi",1.35502570824827,"Santini et al. (2023, GEB)"
"Stymphalornis acutirostris",1.31663069057481,"Santini et al. (2023, GEB)"
"Neopelma chrysolophum",0.962267182627854,"Santini et al. (2023, GEB)"
"Synallaxis whitneyi",0.595753801754102,"Santini et al. (2023, GEB)"
"Phylloscartes beckeri",0.836345844253087,"Santini et al. (2023, GEB)"
"Nyctiphrynus rosenbergi",1.16479984082198,"Santini et al. (2023, GEB)"
"Hylopezus macularius",0.586433466020143,"Santini et al. (2023, GEB)"
"Acrobatornis fonsecai",0.210765569776725,"Santini et al. (2023, GEB)"
"Aethopyga linaraborae",1.63081932192392,"Santini et al. (2023, GEB)"
"Phapitreron brunneiceps",0.86421688580543,"Santini et al. (2023, GEB)"
"Calicalicus rufocarpalis",1.41643078794455,"Santini et al. (2023, GEB)"
"Nesillas lantzii",1.45041785501715,"Santini et al. (2023, GEB)"
"Cyanoramphus malherbi",1.00245195246296,"Santini et al. (2023, GEB)"
"Colluricincla sanghirensis",1.51126701389467,"Santini et al. (2023, GEB)"
"Anas nesiotis",0.449402981485191,"Santini et al. (2023, GEB)"
"Otus moheliensis",1.373662662552,"Santini et al. (2023, GEB)"
"Cranioleuca henricae",1.39236463536915,"Santini et al. (2023, GEB)"
"Atlapetes melanopsis",1.68686552071653,"Santini et al. (2023, GEB)"
"Glaucidium nubicola",1.1749239112497,"Santini et al. (2023, GEB)"
"Herpsilochmus gentryi",1.21304620569113,"Santini et al. (2023, GEB)"
"Phylloscartes parkeri",1.29074277793222,"Santini et al. (2023, GEB)"
"Cercomacra parkeri",1.22349408811456,"Santini et al. (2023, GEB)"
"Chlorostilbon olivaresi",1.38090458913766,"Santini et al. (2023, GEB)"
"Grallaria ridgelyi",1.26807165600311,"Santini et al. (2023, GEB)"
"Leptodon forbesi",0.180082812169372,"Santini et al. (2023, GEB)"
"Megascops seductus",1.1488790715254,"Santini et al. (2023, GEB)"
"Xanthopsar flavus",1.16806858913231,"Santini et al. (2023, GEB)"
"Leptasthenura yanacensis",1.28415671392777,"Santini et al. (2023, GEB)"
"Phylloscartes sylviolus",0.921850104646658,"Santini et al. (2023, GEB)"
"Phylloscartes eximius",0.860744219357808,"Santini et al. (2023, GEB)"
"Guaruba guarouba",0.233542618123467,"Santini et al. (2023, GEB)"
"Otus beccarii",0.956806929865326,"Santini et al. (2023, GEB)"
"Phibalura flavirostris",1.24772434311637,"Santini et al. (2023, GEB)"
"Dendroica dominica",1.61300493994166,"Santini et al. (2023, GEB)"
"Psittacus erithacus",0.557876691790225,"Santini et al. (2023, GEB)"
"Cissa thalassina",1.39590076727308,"Santini et al. (2023, GEB)"
"Melanitta fusca",0.0651798347719371,"Santini et al. (2023, GEB)"
"Myrmeciza laemosticta",1.38878967250457,"Santini et al. (2023, GEB)"
"Melanitta nigra",0.0331955410159425,"Santini et al. (2023, GEB)"
"Aphelocoma ultramarina",1.68689552965235,"Santini et al. (2023, GEB)"
"Canirallus kioloides",0.994279953378398,"Santini et al. (2023, GEB)"
"Grallaricula nana",1.23151358789952,"Santini et al. (2023, GEB)"
"Apus toulsoni",1.07893706311369,"Santini et al. (2023, GEB)"
"Argusianus argus",0.510324418140943,"Santini et al. (2023, GEB)"
"Picus viridis",0.802200808426616,"Santini et al. (2023, GEB)"
"Carduelis hornemanni",0.797482735003619,"Santini et al. (2023, GEB)"
"Ptilinopus subgularis",1.08641362093818,"Santini et al. (2023, GEB)"
"Rhodopechys sanguineus",1.1179633501582,"Santini et al. (2023, GEB)"
"Batis minor",1.52933489348073,"Santini et al. (2023, GEB)"
"Rallus aquaticus",0.403571860335015,"Santini et al. (2023, GEB)"
"Bambusicola thoracicus",0.361829710379047,"Santini et al. (2023, GEB)"
"Guttera pucherani",0.875314132021336,"Santini et al. (2023, GEB)"
"Vanellus miles",1.0289886692881,"Santini et al. (2023, GEB)"
"Otidiphaps nobilis",0.732257976336792,"Santini et al. (2023, GEB)"
"Patagioenas fasciata",1.10148941583708,"Santini et al. (2023, GEB)"
"Ptilinopus superbus",1.47621657192017,"Santini et al. (2023, GEB)"
"Ducula basilica",0.762111944741384,"Santini et al. (2023, GEB)"
"Trichoglossus haematodus",1.21500566536457,"Santini et al. (2023, GEB)"
"Charmosyna papou",1.13466589232234,"Santini et al. (2023, GEB)"
"Cyclopsitta gulielmitertii",1.20197580285805,"Santini et al. (2023, GEB)"
"Corythaixoides personatus",1.03447539911164,"Santini et al. (2023, GEB)"
"Phaenicophaeus curvirostris",1.0608901454946,"Santini et al. (2023, GEB)"
"Coua ruficeps",1.04380773799453,"Santini et al. (2023, GEB)"
"Coua cristata",1.21869103515852,"Santini et al. (2023, GEB)"
"Strix aluco",0.304615499252993,"Santini et al. (2023, GEB)"
"Ninox philippensis",0.757279467163653,"Santini et al. (2023, GEB)"
"Turnix hottentottus",0.923688280414952,"Santini et al. (2023, GEB)"
"Chalcophaps indica",0.783095469670775,"Santini et al. (2023, GEB)"
"Treron pompadora",1.10847812032836,"Santini et al. (2023, GEB)"
"Psittaculirostris desmarestii",1.03299014445549,"Santini et al. (2023, GEB)"
"Ceuthmochares aereus",0.811950731189738,"Santini et al. (2023, GEB)"
"Ninox scutulata",0.747347987554763,"Santini et al. (2023, GEB)"
"Caprimulgus longirostris",1.77081795048576,"Santini et al. (2023, GEB)"
"Caprimulgus macrurus",1.18509239877796,"Santini et al. (2023, GEB)"
"Phaethornis longirostris",1.36286317194329,"Santini et al. (2023, GEB)"
"Anthracothorax dominicus",1.15367585905416,"Santini et al. (2023, GEB)"
"Stephanoxis lalandi",1.30046378935738,"Santini et al. (2023, GEB)"
"Cynanthus latirostris",1.45490857675294,"Santini et al. (2023, GEB)"
"Lampornis castaneoventris",1.68640562892025,"Santini et al. (2023, GEB)"
"Urochroa bougueri",1.5050065055029,"Santini et al. (2023, GEB)"
"Halcyon smyrnensis",1.48631288639456,"Santini et al. (2023, GEB)"
"Merops orientalis",0.155249246917986,"Santini et al. (2023, GEB)"
"Merops viridis",0.426790128542318,"Santini et al. (2023, GEB)"
"Coracias benghalensis",1.05561977975908,"Santini et al. (2023, GEB)"
"Tockus erythrorhynchus",0.871571411154096,"Santini et al. (2023, GEB)"
"Bycanistes fistulator",0.126342313522825,"Santini et al. (2023, GEB)"
"Trachyphonus purpuratus",0.253771194566125,"Santini et al. (2023, GEB)"
"Trachyphonus darnaudii",1.28117207740925,"Santini et al. (2023, GEB)"
"Gymnobucco calvus",0.717325413939723,"Santini et al. (2023, GEB)"
"Gymnobucco bonapartei",0.881141098903373,"Santini et al. (2023, GEB)"
"Stactolaema leucotis",1.34399843587848,"Santini et al. (2023, GEB)"
"Lybius leucocephalus",0.950325961247429,"Santini et al. (2023, GEB)"
"Lybius minor",1.36043517821723,"Santini et al. (2023, GEB)"
"Megalaima franklinii",1.1145937913134,"Santini et al. (2023, GEB)"
"Megalaima australis",1.44013533148718,"Santini et al. (2023, GEB)"
"Megalaima rubricapillus",1.2936827734968,"Santini et al. (2023, GEB)"
"Eubucco richardsoni",1.04260828607022,"Santini et al. (2023, GEB)"
"Aulacorhynchus prasinus",0.995905881668879,"Santini et al. (2023, GEB)"
"Pteroglossus inscriptus",0.22752306590414,"Santini et al. (2023, GEB)"
"Pteroglossus torquatus",0.793148876690802,"Santini et al. (2023, GEB)"
"Ramphastos vitellinus",0.0888860909224943,"Santini et al. (2023, GEB)"
"Campethera tullbergi",0.666821408867264,"Santini et al. (2023, GEB)"
"Dendrocopos macei",0.82146495221915,"Santini et al. (2023, GEB)"
"Colaptes rivolii",1.16599080663665,"Santini et al. (2023, GEB)"
"Colaptes auratus",0.952378970592126,"Santini et al. (2023, GEB)"
"Colaptes rupicola",0.929626168024027,"Santini et al. (2023, GEB)"
"Colaptes campestris",0.411273103935319,"Santini et al. (2023, GEB)"
"Celeus torquatus",0.0556235412837703,"Santini et al. (2023, GEB)"
"Dryocopus lineatus",0.7656943771097,"Santini et al. (2023, GEB)"
"Picus canus",0.623244981871229,"Santini et al. (2023, GEB)"
"Chrysocolaptes lucidus",0.895622769039588,"Santini et al. (2023, GEB)"
"Ceyx lepidus",1.25759305781884,"Santini et al. (2023, GEB)"
"Phaethornis griseogularis",0.944561516523045,"Santini et al. (2023, GEB)"
"Lophornis chalybeus",1.18520368791344,"Santini et al. (2023, GEB)"
"Thalurania colombica",1.41802649700808,"Santini et al. (2023, GEB)"
"Amazilia lactea",0.971458890047003,"Santini et al. (2023, GEB)"
"Coeligena torquata",1.54709350149581,"Santini et al. (2023, GEB)"
"Coeligena violifer",1.37284114431066,"Santini et al. (2023, GEB)"
"Oxypogon guerinii",1.52729046340306,"Santini et al. (2023, GEB)"
"Schistes geoffroyi",1.49350408204269,"Santini et al. (2023, GEB)"
"Trogon elegans",1.20804963809778,"Santini et al. (2023, GEB)"
"Actenoides monachus",1.03988942625272,"Santini et al. (2023, GEB)"
"Actenoides princeps",1.08744612637645,"Santini et al. (2023, GEB)"
"Actenoides bougainvillei",1.00906015987031,"Santini et al. (2023, GEB)"
"Cittura cyanotis",1.28836776765812,"Santini et al. (2023, GEB)"
"Lacedo pulchella",1.07252553438582,"Santini et al. (2023, GEB)"
"Todiramphus veneratus",5.52764008029468,"Santini et al. (2023, GEB)"
"Alcedo argentata",0.706140809923346,"Santini et al. (2023, GEB)"
"Alcedo cyanopectus",0.557779155201641,"Santini et al. (2023, GEB)"
"Alcedo euryzona",0.965070944405959,"Santini et al. (2023, GEB)"
"Tockus hartlaubi",0.757209775045166,"Santini et al. (2023, GEB)"
"Galbula albirostris",0.58613023451102,"Santini et al. (2023, GEB)"
"Calorhamphus fuliginosus",1.22201812413952,"Santini et al. (2023, GEB)"
"Eubucco versicolor",1.12636555175131,"Santini et al. (2023, GEB)"
"Aulacorhynchus derbianus",0.943800722159723,"Santini et al. (2023, GEB)"
"Selenidera reinwardtii",0.807722955169293,"Santini et al. (2023, GEB)"
"Mesopicos elliotii",0.931009173938845,"Santini et al. (2023, GEB)"
"Dendrocopos leucotos",0.516282791511172,"Santini et al. (2023, GEB)"
"Picoides dorsalis",1.18821051227457,"Santini et al. (2023, GEB)"
"Campephilus haematogaster",0.912236098601754,"Santini et al. (2023, GEB)"
"Dinopium javanense",1.01283048124295,"Santini et al. (2023, GEB)"
"Meiglyptes tristis",1.36383769726434,"Santini et al. (2023, GEB)"
"Hemicircus concretus",1.31756051099301,"Santini et al. (2023, GEB)"
"Mulleripicus funebris",0.576751199073325,"Santini et al. (2023, GEB)"
"Ciconia episcopus",0.0133943956638466,"Santini et al. (2023, GEB)"
"Anas gibberifrons",0.925264322612513,"Santini et al. (2023, GEB)"
"Pipile cumanensis",0.06999977797602,"Santini et al. (2023, GEB)"
"Francolinus psilolaemus",1.04488483729447,"Santini et al. (2023, GEB)"
"Arborophila charltonii",1.3062260350434,"Santini et al. (2023, GEB)"
"Lophura erythrophthalma",1.01581385212165,"Santini et al. (2023, GEB)"
"Lophura ignita",0.638554348414801,"Santini et al. (2023, GEB)"
"Charadrius tricollaris",1.29304623763499,"Santini et al. (2023, GEB)"
"Charadrius alexandrinus",0.301078542521524,"Santini et al. (2023, GEB)"
"Coenocorypha aucklandica",0.238285563510556,"Santini et al. (2023, GEB)"
"Streptopelia bitorquata",1.40632142303213,"Santini et al. (2023, GEB)"
"Treron formosae",0.333857697773443,"Santini et al. (2023, GEB)"
"Hemiphaga novaeseelandiae",0.586388685948373,"Santini et al. (2023, GEB)"
"Trichoglossus flavoviridis",1.23235381430559,"Santini et al. (2023, GEB)"
"Cyclopsitta diophthalma",1.09278893583179,"Santini et al. (2023, GEB)"
"Psittinus cyanurus",1.39260797710792,"Santini et al. (2023, GEB)"
"Pionus tumultuosus",0.664559505074174,"Santini et al. (2023, GEB)"
"Amazona festiva",0.360328746611033,"Santini et al. (2023, GEB)"
"Phodilus badius",0.483183283951013,"Santini et al. (2023, GEB)"
"Otus megalotis",0.545734836278495,"Santini et al. (2023, GEB)"
"Mesophoyx intermedia",0.800822441218943,"Santini et al. (2023, GEB)"
"Pernis celebensis",0.620887269192592,"Santini et al. (2023, GEB)"
"Accipiter tachiro",0.45674513919539,"Santini et al. (2023, GEB)"
"Accipiter toussenelii",0.213499601622148,"Santini et al. (2023, GEB)"
"Accipiter novaehollandiae",0.768061751403891,"Santini et al. (2023, GEB)"
"Circus cyaneus",0.0260813331349904,"Santini et al. (2023, GEB)"
"Oxyura jamaicensis",0.323837073073161,"Santini et al. (2023, GEB)"
"Buteo nitidus",0.120914121773152,"Santini et al. (2023, GEB)"
"Falco chicquera",0.47880940978532,"Santini et al. (2023, GEB)"
"Streptopelia decaocto",0.324092469756292,"Santini et al. (2023, GEB)"
"Phapitreron leucotis",1.0528611891687,"Santini et al. (2023, GEB)"
"Treron australis",0.865510854135971,"Santini et al. (2023, GEB)"
"Ducula badia",0.672884508199794,"Santini et al. (2023, GEB)"
"Prioniturus discurus",0.762357792527576,"Santini et al. (2023, GEB)"
"Coracopsis nigra",0.923503583649145,"Santini et al. (2023, GEB)"
