"Species","Density","Source"
"Oryx leucoryx",0.443,"Santini et al. (2022, GEB)"
"Ourebia ourebi",0.647,"Santini et al. (2022, GEB)"
"Ovibos moschatus",0.838,"Santini et al. (2022, GEB)"
"Ovis ammon",0.567,"Santini et al. (2022, GEB)"
"Ovis canadensis",1.654,"Santini et al. (2022, GEB)"
"Ovis dalli",1.268,"Santini et al. (2022, GEB)"
"Ovis nivicola",0.828,"Santini et al. (2022, GEB)"
"Pantholops hodgsonii",4.11,"Santini et al. (2022, GEB)"
"Pelea capreolus",3.099,"Santini et al. (2022, GEB)"
"Philantomba maxwellii",2.714,"Santini et al. (2022, GEB)"
"Philantomba monticola",3.623,"Santini et al. (2022, GEB)"
"Procapra gutturosa",5.113,"Santini et al. (2022, GEB)"
"Procapra picticaudata",2.606,"Santini et al. (2022, GEB)"
"Procapra przewalskii",10.232,"Santini et al. (2022, GEB)"
"Pseudoryx nghetinhensis",0.973,"Santini et al. (2022, GEB)"
"Raphicerus campestris",0.363,"Santini et al. (2022, GEB)"
"Raphicerus melanotis",2.333,"Santini et al. (2022, GEB)"
"Raphicerus sharpei",0.396,"Santini et al. (2022, GEB)"
"Redunca arundinum",0.465,"Santini et al. (2022, GEB)"
"Redunca fulvorufula",0.345,"Santini et al. (2022, GEB)"
"Redunca redunca",0.203,"Santini et al. (2022, GEB)"
"Rupicapra pyrenaica",2.704,"Santini et al. (2022, GEB)"
"Rupicapra rupicapra",4.663,"Santini et al. (2022, GEB)"
"Saiga tatarica",2.643,"Santini et al. (2022, GEB)"
"Sylvicapra grimmia",0.268,"Santini et al. (2022, GEB)"
"Syncerus caffer",1.177,"Santini et al. (2022, GEB)"
"Taurotragus derbianus",0.417,"Santini et al. (2022, GEB)"
"Taurotragus oryx",0.372,"Santini et al. (2022, GEB)"
"Tetracerus quadricornis",0.673,"Santini et al. (2022, GEB)"
"Tragelaphus angasii",2.167,"Santini et al. (2022, GEB)"
"Tragelaphus buxtoni",1.904,"Santini et al. (2022, GEB)"
"Tragelaphus eurycerus",0.162,"Santini et al. (2022, GEB)"
"Tragelaphus imberbis",0.165,"Santini et al. (2022, GEB)"
"Tragelaphus scriptus",0.236,"Santini et al. (2022, GEB)"
"Tragelaphus spekii",0.617,"Santini et al. (2022, GEB)"
"Tragelaphus strepsiceros",0.233,"Santini et al. (2022, GEB)"
"Camelus bactrianus",0.471,"Santini et al. (2022, GEB)"
"Lama glama",1.049,"Santini et al. (2022, GEB)"
"Vicugna vicugna",1.738,"Santini et al. (2022, GEB)"
"Alces alces",0.586,"Santini et al. (2022, GEB)"
"Axis axis",26.805,"Santini et al. (2022, GEB)"
"Axis calamianensis",1.758,"Santini et al. (2022, GEB)"
"Axis kuhlii",1.57,"Santini et al. (2022, GEB)"
"Axis porcinus",11.418,"Santini et al. (2022, GEB)"
"Blastocerus dichotomus",0.865,"Santini et al. (2022, GEB)"
